id,movie_id,actor_id
15240,1,1
102382,1,1339
44490,1,3885
130948,1,43
73536,1,5522
158934,1,5950
19183,10,10
48419,10,2974
58773,100,134
29558,100,1993
87783,100,387
116549,100,7142
144968,100,7739
99,100,90
83643,1000,12700
168557,1000,13576
25403,1000,140
54623,1000,159
112428,1000,18211
140879,1000,23760
39363,10001,166
9938,10001,1667
68530,10001,2197
154342,10001,32253
126149,10001,7815
97479,10001,9485
15228,10002,1249
73524,10002,15388
44478,10002,2044
102371,10002,20937
158924,10002,32254
130937,10002,6650
130949,10003,13666
102383,10003,2017
44491,10003,3414
15241,10003,52
73537,10003,6762
158935,10003,6943
165482,10004,1529
137730,10004,15389
109258,10004,20938
22198,10004,3909
51424,10004,9841
110156,10005,20939
138623,10005,2497
166362,10005,32255
23108,10005,462
81356,10005,833
52331,10005,9842
135925,10006,19064
163749,10006,32256
107426,10006,3684
49574,10006,3732
78608,10006,3840
20344,10006,779
71265,10008,12775
100129,10008,20940
156764,10008,25947
12953,10008,2633
42208,10008,499
128710,10008,8225
117426,1001,1121
30451,1001,152
145833,1001,29447
88667,1001,4783
995,1001,69
59662,1001,780
68539,10010,15390
9947,10010,169
154351,10010,3494
126158,10010,496
39372,10010,6190
97488,10010,7955
154354,10013,32257
9950,10013,3910
68542,10013,4830
126161,10013,5494
97491,10013,6716
39375,10013,8038
85350,10015,15391
114126,10015,19043
27115,10015,3911
170179,10015,5715
142565,10015,8260
56334,10015,9843
115704,10016,1177
57920,10016,1471
86933,10016,15392
28703,10016,227
144130,10016,23
171701,10016,32258
72442,10018,1280
101300,10018,1329
157902,10018,3558
129876,10018,3921
14136,10018,52
43389,10018,9844
85995,10019,15393
114770,10019,20941
143205,10019,26533
170804,10019,32259
56981,10019,5848
27763,10019,762
54332,1002,227
83352,1002,237
140594,1002,23786
168278,1002,4014
25110,1002,54
112139,1002,9446
97500,10022,18212
154363,10022,22085
126170,10022,26534
39384,10022,3423
9959,10022,3912
68551,10022,4597
80972,10023,15394
109774,10023,20942
22716,10023,2781
165988,10023,32260
51942,10023,4007
138244,10023,9691
27217,10024,1079
56435,10024,1468
142665,10024,1495
85451,10024,15395
170277,10024,32261
114227,10024,3607
168426,10025,17116
140743,10025,2645
25266,10025,281
112292,10025,3427
83507,10025,5643
54487,10025,7365
68555,10026,15396
97504,10026,20397
154367,10026,22619
126174,10026,23812
39388,10026,3399
9963,10026,736
85940,10027,15397
114715,10027,20943
170751,10027,32262
27708,10027,3467
143150,10027,3638
56926,10027,5542
126176,10028,12103
97506,10028,2362
9965,10028,3913
68557,10028,3934
154369,10028,8077
39390,10028,9604
72274,10029,14929
101134,10029,20944
157740,10029,2403
129710,10029,3796
13967,10029,504
43221,10029,9845
58358,1003,1705
87369,1003,2109
144556,1003,23787
172119,1003,29448
116136,1003,361
29142,1003,664
29190,10032,1087
172165,10032,2633
87417,10032,386
58406,10032,544
116184,10032,7399
144604,10032,7888
68563,10034,15398
126182,10034,17230
154375,10034,32263
97512,10034,6470
9971,10034,922
39396,10034,9846
70610,10035,15399
41518,10035,1788
99508,10035,20945
128120,10035,26535
12215,10035,3914
97516,10038,15264
9975,10038,3915
154378,10038,5456
68567,10038,6831
39400,10038,768
126186,10038,819
9976,10039,1061
39401,10039,1279
154379,10039,13622
126187,10039,15241
68568,10039,1556
97517,10039,5437
143700,1004,13261
115270,1004,18212
171289,1004,29449
28266,1004,665
57484,1004,7084
86498,1004,7339
68569,10040,111
39402,10040,1461
97518,10040,20946
154380,10040,32264
9977,10040,3916
126188,10040,7341
27086,10042,1324
114098,10042,20947
170151,10042,21980
85321,10042,2479
56305,10042,5429
142537,10042,7297
71535,10043,15400
42480,10043,1953
128977,10043,19913
13225,10043,232
157026,10043,32265
100398,10043,8023
113385,10045,2397
84607,10045,258
169457,10045,32266
26370,10045,385
55589,10045,419
141826,10045,9666
154386,10046,18349
68575,10046,3768
9983,10046,3917
