id,movie_id,writer_id
14143,1,1
35265,1,1783
2,2,2
27890,2,8418
7052,3,3
43779,3,576
48291,3,4544
31912,3,8419
12780,4,4
34644,4,3524
12718,5,5
34613,5,3658
44782,5,11665
6,6,6
16614,7,7
3511,8,8
30047,8,7808
43031,8,11666
7056,9,9
31914,9,858
17956,10,10
36977,10,561
11962,11,11
23386,12,12
39731,12,7892
21488,13,13
38777,13,8420
46273,13,11667
26616,15,15
26596,16,16
27003,17,17
18566,18,18
45671,18,2178
37240,18,6134
16193,19,19
24377,20,20
23456,21,21
26368,22,117
21823,23,22
46377,23,239
38980,23,1418
49272,23,8255
22150,24,23
39135,24,1090
18774,25,24
24,26,25
23188,26,2258
12217,27,26
34383,27,8421
12838,28,27
24016,29,28
21146,30,29
22006,31,30
39076,31,1063
46401,31,7865
49282,31,12763
17374,32,31
45494,32,3787
36711,32,8422
21584,33,32
38831,33,2254
46303,33,11668
3527,34,33
30055,34,8423
23427,35,34
39753,35,1071
13469,36,35
26412,37,36
41146,37,8424
27160,38,37
26049,38,8372
27645,39,38
41881,39,437
47484,39,8975
25199,40,39
24530,41,40
40,42,41
42032,42,1090
27910,42,4264
22649,43,42
26900,44,43
12085,45,44
34333,45,1792
27019,46,45
41508,46,997
17722,47,46
45555,47,6638
36887,47,8425
27283,48,47
26369,49,48
41118,49,8426
26376,50,49
41122,50,2647
47125,50,11669
27663,51,50
41893,51,8427
26696,52,51
41310,52,4038
7099,53,52
52,54,53
26595,55,54
49572,55,1500
41251,55,4558
47182,55,11670
27750,56,55
41941,56,79
14947,57,56
35624,57,8428
45127,57,11671
27774,58,57
41957,58,643
47525,58,1632
23480,59,58
39777,59,114
58,60,59
16146,61,60
22769,62,61
13010,63,62
34730,63,8429
44819,63,11672
21281,64,63
38631,64,8430
23825,65,64
39957,65,7874
10691,66,65
33747,66,8431
44497,66,11673
5614,67,66
7109,68,67
31942,68,8432
43791,68,11674
7110,69,68
24213,70,69
40138,70,6913
22782,71,70
19428,73,63
37647,73,8433
15217,74,71
72,75,72
27929,75,8434
19915,76,73
37871,76,8435
45884,76,11675
24352,77,74
40201,77,8436
46806,77,11676
31944,78,68
