id,name
1,Alfred Gough
2,Scott Crowell
3,Rick Friedberg
4,Uli Edel
5,John Milius
6,Eric Aronson
7,Mark Boal
8,Angela Sommer-Bodenburg
9,Carole Eastman
10,John Lee Mahin
11,Charles Burnett
12,Tom Papa
13,Dev Ross
14,Writer Not Available
15,Leslie Bricusse
16,Justin Marks
17,Mayo Simon
18,Richard Kletter
19,Franc. Reyes
20,Je-kyu Kang
21,Ebbe Roe Smith
22,Cyril Hume
23,Luc Besson
24,Kenny Golde
25,John Hughes
26,Thomas Pa'a Sibbett
27,Ted Griffin
28,Frank Gruber
29,Ben Zazove
30,Tony Puryear
31,Calder Willingham
32,Linda Woolverton
33,Jon Hewitt
34,Peter Berg
35,Milton Gelman
36,Bong Joon Ho
37,Jack Nicholson
38,Jean M. Auel
39,Evan Glodell
40,John Carlos Frey
41,Jeffrey Boam
42,Richard Tuggle
43,Chris Noonan
44,Hal Dresner
45,Christopher Markus
46,John O'Brien
47,Alex Garland
48,Douglas Fairbanks
49,Ishir Honda
50,Laurence Dworet
51,Bill Walsh
52,Peter Crabbe
53,Skip Woods
54,David N. Weiss
55,Robert Ben Garant
56,Timothy Ratajczak
57,Ehren Kruger
58,Kurt Wimmer
59,Anders lholm
60,Michael Blake
61,Greg Iles
62,Ole Meldgaard
63,Robert Rodriguez
64,Tom Hammock
65,Yuthapong Pirayuthapon
66,Edward Bond
67,Hal Roach
68,Jeremy Joe Kronsberg
69,Walter Hill
70,Johnny Ferguson
71,Jason Keller
72,David Shaber
73,Kengo Kaji
74,Sunny Luk
75,Stanford Sherman
76,Eric Roth
77,Jeff Lowell
78,Nelson Gidding
79,Scott Frank
80,Tao Ruspoli
81,Matias Caruso
82,Chang Chia-lu
83,Cy Endfield
84,David Odell
85,Zhang Jialu
86,Katie Dippold
87,William A. Kirkley
88,John Clafin
89,Carl Foreman
90,Timo Tjahjanto
91,David Webb Peoples
92,George Arthur Bloom
93,George Schenck
94,Brian Koppelman
95,Sergio Leone
96,Ciro Guerra
97,Bob Gale
98,Bill Collage
99,Ric Roman Waugh
100,Robin Campillo
101,Richard Brooks
102,Chun Tin-nam
103,Chris Hauty
104,David Koepp
105,Brendan McCarthy
106,Wes Anderson
107,Joe Robert Cole
108,Michael Colleary
109,Alan Burnett
110,Cinco Paul
111,Michael Thomas
112,Peter Farrelly
113,Forry Smith
114,Brian Helgeland
115,Bryan Forbes
116,Sam Levine
117,Blake Edwards
118,Joss Whedon
119,Danny Bilson
120,John Michael Hayes
121,Michael Blodgett
122,Brannon Braga
123,Tonino Guerra
124,Neil Gaiman
125,David Mamet
126,Raymond Briggs
127,David Hilton
128,Ed Horowitz
129,Arne Olsen
130,Shane Morris
131,Miguel Barroso
132,Brian Clemens
133,Steven Siegel
134,Kuo Zheng
135,Richard Wenk
136,Eran Creevy
137,Jeff Dixon
138,Troy Duffy
139,John Lasseter
140,Michael Blankfort
141,Sam Peckinpah
142,Jason Fuchs
143,Ed Neumeier
144,Ted Berman
145,Arthur Weiss
146,He Keke
147,Martha Stephens
148,Diane O. Thomas
149,Kevin Reynolds
150,Stephen E. deSouza
151,Jeff Maguire
152,Quentin Werty
153,Quentin Tarantino
154,Sean Brenden Brosnan
155,Jing Wong
156,Gladys Hill
157,Emeric Pressburger
158,Jeong-beom Lee
159,James DeMonaco
160,Arash Amel
161,Cheung Tan
162,Mark Neveldine
163,James Mark
164,Richard D'Ovidio
165,Rian Johnson
166,William Goldman
167,Burt Kennedy
168,Jared Bush
169,Charles Randolph
170,Bruce Feirstein
171,Emily Carmichael
172,Sean McNamara
173,Roger L. Simon
174,Scott Alexander
175,Richard Kelly
176,Wayne Kramer
177,Seaman Jacobs
178,Boaz Yakin
179,Michael Almereyda
180,Ace Hannah
181,Leslie Bohem
182,Zack Snyder
183,Ravn Lanesskog
184,Hampton Fancher
185,Paul Attanasio
186,Harald Zwart
187,Gregory Burke
188,Steven McKay
189,Larry Leker
190,James Bruner
191,Andrew Dominik
192,John Leekley
193,Charlie Peters
194,Vondie Curtis-Hall
195,Ed Solomon
196,David Klass
197,Hsiao Lung
198,Brad Mirman
199,Max Adams
200,Roland Emmerich
201,Guinevere Turner
202,Robert Zemeckis
203,Robert Carson
204,Paul de Meo
205,Paul W.S. Anderson
206,Akiva Goldsman
207,Akira Kurosawa
